Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Promotions,Reviews,Monthly_Revenue
61,43.11763548709968,12.66379252026928,Japanese,36.23613252393598,0,45,350.9120399867156
24,40.02007699061254,4.577892096932272,Italian,17.95256243749612,0,36,221.3190913292622
81,41.98148523678063,4.65291077125362,Japanese,22.600420287336984,1,91,326.52976287588587
70,43.00530706771189,4.416052595712783,Italian,18.984097602995394,1,59,348.19057312560795
30,17.456199471525764,3.47505191324589,Italian,12.766142708740048,1,30,185.0091205967936
92,19.42766984259999,13.114473451233126,American,43.09994966542693,1,10,399.8675067311068
96,35.35034254880709,16.96031770498803,American,20.181621716866445,0,86,496.6536867303593
84,46.31464521850064,14.486349393533224,Italian,28.921100133720827,1,1,417.1586067140847
84,22.647863291859785,15.841872675210864,American,11.732610930172475,0,26,352.148065230514
97,33.53226703180226,8.095968581703996,Italian,37.97357865010572,0,98,272.7935167604014
33,37.31928253668529,13.081515907439965,Mexican,23.22244009225163,0,1,318.7732089145467
12,28.07794405196157,7.084724808895491,American,39.7894691131684,0,20,189.2388688837744
31,38.55129819421304,10.5100924393728,American,26.496122418714645,0,57,218.4735501031867
62,45.98669781168692,9.632696930697248,American,17.830224256224984,0,4,308.9711493681178
11,34.964061767273506,3.537742902877088,Mexican,30.527003291281435,0,51,117.15332925629588
97,31.59124247658532,7.741575206712616,Italian,15.22018238549759,1,44,292.7543309473953
39,27.54978701553356,19.27644550964702,Japanese,27.62156639491979,0,84,252.58466160696725
47,33.099450836245026,4.9716051542988415,American,22.69221909681946,1,92,182.91904081048472
11,24.21449807273584,2.6760747255897743,Italian,46.47838336798533,1,19,60.37322070984645
73,25.65928440806008,8.371612432478706,Mexican,12.437148868828798,0,60,301.1840968112608
69,31.27429918752696,15.806754717202962,Japanese,37.76069656422968,0,37,294.33559700046425
30,12.664764495632678,11.642964595599445,American,17.310046639497436,1,19,276.49212856798465
42,19.161015636991856,13.61949654476489,Mexican,22.761802973289598,1,24,308.19802795312177
85,31.71397242453636,3.793896963493544,Mexican,26.62056252248264,1,1,267.49494823253434
67,27.261125725457703,12.37896386015443,Japanese,46.32060357499897,1,31,368.3336437007988
31,23.312631436499373,6.470007898229476,Italian,19.70313064295301,0,25,165.88416121416384
