iter	Passed	Remaining
0	152	152603
1	156	78073
2	159	53098
3	163	40659
4	166	33205
5	169	28160
6	173	24560
7	176	21879
8	179	19774
9	182	18109
10	186	16774
11	189	15641
12	193	14663
13	196	13827
14	199	13107
15	202	12476
16	206	11948
17	209	11452
18	213	11003
19	216	10599
20	219	10248
21	223	9921
22	232	9869
23	238	9716
24	245	9573
25	269	10078
26	276	9956
27	299	10400
28	302	10125
29	305	9889
30	309	9667
31	317	9595
32	318	9346
33	323	9177
34	328	9065
35	333	8920
36	336	8753
37	339	8599
38	343	8470
39	347	8350
40	351	8214
41	354	8084
42	359	7993
43	363	7890
44	366	7777
45	369	7664
46	373	7569
47	377	7481
48	380	7384
49	384	7309
50	390	7269
51	394	7192
52	398	7119
53	402	7050
54	406	6987
55	409	6909
56	413	6837
57	416	6764
58	421	6715
59	424	6644
60	427	6576
61	430	6511
62	434	6455
63	437	6404
64	441	6346
65	444	6290
66	447	6234
67	452	6201
68	455	6148
69	458	6093
70	461	6040
71	465	6005
72	469	5961
73	472	5915
74	475	5868
75	479	5826
76	483	5796
77	486	5749
78	489	5706
79	492	5664
80	497	5644
81	501	5615
82	505	5581
83	509	5557
84	514	5534
85	517	5498
86	520	5466
87	525	5441
88	528	5414
89	532	5383
90	535	5352
91	539	5322
92	543	5300
93	547	5275
94	550	5246
95	553	5215
96	557	5192
97	561	5166
98	564	5141
99	569	5122
100	574	5113
101	578	5090
102	580	5057
103	584	5031
104	588	5013
105	592	4993
106	595	4968
107	598	4947
108	603	4932
109	607	4914
110	611	4895
111	614	4875
112	619	4861
113	623	4846
114	626	4822
115	630	4801
116	634	4789
117	638	4773
118	641	4750
119	645	4730
120	649	4717
121	653	4699
122	656	4679
123	659	4659
124	662	4640
125	667	4628
126	670	4607
127	673	4590
128	677	4571
129	681	4557
130	684	4540
131	687	4522
132	690	4502
133	694	4488
134	697	4471
135	701	4454
136	704	4435
137	707	4416
138	710	4399
139	713	4381
140	716	4362
141	719	4344
142	722	4328
143	725	4314
144	729	4303
145	733	4292
146	736	4276
147	740	4260
148	743	4244
149	746	4228
150	749	4212
151	752	4195
152	755	4180
153	758	4164
154	761	4149
155	763	4133
156	766	4118
157	769	4103
158	773	4088
159	776	4074
160	778	4059
161	781	4044
162	784	4030
163	788	4017
164	791	4003
165	794	3989
166	797	3976
167	800	3966
168	804	3956
169	808	3946
170	811	3931
171	814	3919
172	817	3906
173	820	3892
174	822	3879
175	825	3865
176	828	3853
177	831	3840
178	834	3827
179	837	3814
180	840	3802
181	843	3790
182	846	3778
183	849	3766
184	852	3754
185	855	3743
186	858	3733
187	861	3721
188	864	3710
189	867	3699
190	870	3687
191	873	3677
192	876	3665
193	879	3655
194	882	3644
195	886	3637
196	889	3627
197	892	3616
198	895	3606
199	898	3595
200	902	3586
201	905	3577
202	908	3568
203	912	3558
204	915	3550
205	919	3543
206	922	3534
207	926	3527
208	929	3519
209	933	3510
210	936	3501
211	939	3491
212	942	3482
213	945	3474
214	949	3466
215	952	3456
216	955	3447
217	958	3438
218	962	3430
219	965	3422
220	968	3415
221	972	3406
222	975	3398
223	978	3389
224	981	3381
225	985	3373
226	989	3368
227	992	3360
228	995	3352
229	998	3344
230	1002	3337
231	1006	3330
232	1009	3322
233	1012	3314
234	1015	3305
235	1018	3298
236	1021	3289
237	1025	3284
238	1028	3276
239	1032	3269
240	1036	3264
241	1042	3263
242	1045	3257
243	1049	3252
244	1054	3248
245	1057	3241
246	1061	3235
247	1067	3236
248	1071	3232
249	1075	3225
250	1080	3223
251	1084	3218
252	1087	3211
253	1090	3204
254	1095	3199
255	1099	3195
256	1103	3190
257	1107	3184
258	1111	3181
259	1115	3175
260	1119	3169
261	1124	3166
262	1129	3163
263	1133	3158
264	1136	3152
265	1140	3146
266	1144	3141
267	1147	3134
268	1150	3127
269	1153	3119
270	1158	3115
271	1161	3109
272	1165	3102
273	1168	3097
274	1173	3094
275	1178	3091
276	1181	3084
277	1185	3078
278	1188	3072
279	1192	3066
280	1195	3059
281	1198	3052
282	1202	3046
283	1206	3041
284	1209	3033
285	1212	3025
286	1214	3018
287	1218	3013
288	1222	3007
289	1225	3000
290	1228	2993
291	1231	2986
292	1235	2980
293	1238	2974
294	1241	2967
295	1244	2960
296	1247	2953
297	1251	2949
298	1254	2942
299	1257	2934
300	1260	2927
301	1263	2921
302	1267	2915
303	1270	2909
304	1274	2903
305	1277	2896
306	1280	2891
307	1284	2885
308	1287	2879
309	1290	2872
310	1293	2865
311	1297	2861
312	1300	2854
313	1303	2848
314	1307	2843
315	1311	2838
316	1315	2833
317	1318	2827
318	1321	2821
319	1324	2814
320	1328	2810
321	1332	2805
322	1335	2798
323	1338	2792
324	1342	2787
325	1345	2782
326	1349	2776
327	1352	2770
328	1355	2764
329	1359	2759
330	1362	2754
331	1365	2748
332	1368	2741
333	1372	2735
334	1375	2731
335	1378	2724
336	1381	2717
337	1384	2711
338	1387	2706
339	1391	2701
340	1394	2695
341	1397	2689
342	1400	2683
343	1404	2678
344	1408	2673
345	1411	2667
346	1414	2661
347	1417	2655
348	1421	2651
349	1424	2645
