iter	Passed	Remaining
0	135	135177
1	141	70681
2	148	49199
3	156	38870
4	164	32729
5	168	27970
6	174	24702
7	176	21932
8	179	19775
9	183	18151
10	186	16806
11	191	15752
12	193	14721
13	196	13861
14	202	13312
15	205	12635
16	207	12020
17	210	11498
18	215	11105
19	219	10731
20	221	10332
21	224	9972
22	227	9661
23	231	9422
24	234	9137
25	237	8889
26	240	8649
27	242	8427
28	247	8277
29	249	8074
30	252	7889
31	254	7712
32	257	7553
33	261	7429
34	263	7276
35	266	7135
36	269	7004
37	271	6877
38	275	6796
39	278	6695
40	281	6582
41	284	6484
42	286	6386
43	290	6304
44	293	6226
45	296	6153
46	299	6069
47	302	5991
48	306	5947
49	308	5869
50	311	5792
51	313	5719
52	316	5651
53	320	5616
54	323	5560
55	326	5501
56	329	5444
57	331	5385
58	334	5342
59	338	5303
60	341	5250
61	343	5198
62	346	5149
63	349	5113
64	353	5078
65	355	5031
66	357	4984
67	360	4943
68	363	4899
69	367	4884
70	370	4841
71	372	4805
72	375	4766
73	377	4729
74	381	4704
75	384	4676
76	387	4639
77	389	4606
78	392	4573
79	395	4550
80	399	4529
81	402	4502
82	404	4471
83	407	4441
84	410	4422
85	414	4405
86	417	4377
87	419	4349
88	422	4322
89	425	4298
90	428	4282
91	431	4255
92	433	4229
93	436	4203
94	438	4179
95	441	4157
96	444	4141
97	447	4117
98	449	4095
99	452	4073
100	455	4052
101	459	4044
102	462	4023
103	464	4004
104	467	3984
105	470	3965
106	474	3957
107	476	3937
108	479	3917
109	481	3899
110	484	3881
111	487	3864
112	490	3849
113	493	3833
114	496	3817
115	498	3799
116	501	3783
117	506	3787
118	511	3783
119	514	3770
120	517	3757
121	522	3758
122	525	3748
123	528	3737
124	534	3739
125	537	3725
126	539	3709
127	542	3696
128	545	3681
129	549	3675
130	553	3669
131	556	3658
132	558	3643
133	561	3631
134	566	3626
135	568	3612
136	571	3597
137	573	3583
138	576	3570
139	580	3564
140	583	3552
141	585	3539
142	588	3526
143	591	3514
144	594	3506
145	598	3499
146	600	3485
147	603	3472
148	606	3461
149	609	3453
150	613	3449
151	615	3436
152	618	3423
153	621	3411
154	623	3399
155	627	3393
156	629	3380
157	632	3369
158	634	3357
159	637	3345
160	640	3339
161	643	3330
162	646	3319
163	649	3309
164	651	3298
165	654	3287
166	658	3283
167	660	3273
168	663	3263
169	666	3252
170	668	3242
171	672	3238
172	675	3226
173	677	3216
174	680	3206
175	682	3196
176	686	3191
177	689	3183
178	692	3174
179	694	3164
180	697	3155
181	701	3150
182	705	3150
183	708	3143
184	711	3134
185	714	3126
186	718	3124
187	722	3120
188	727	3120
189	730	3115
190	734	3110
191	737	3105
192	741	3098
193	744	3092
194	748	3091
195	751	3083
196	754	3075
197	757	3067
198	760	3060
199	765	3060
200	767	3051
201	770	3042
202	772	3034
203	775	3025
